name;votes;level
Полная отмена системы «Платон»;2119;Федеральный
Построить в каждом регионе мусороперерабатывающие предприятия;2116;Федеральный
Ввести регулирование стоимости услуг нотариусов;2114;Федеральный
Запретить перекрытие автодорог для проезда правительственных автомобилей;2112;Федеральный
Обязать транспортные и иные компании, владеющие авто- и железнодорожными вокзалами, московским метрополитеном, крупные транспортные станции оборудовать на них (непосредственно рядом с ними) бесплатные общественные туалеты;2111;Федеральный
Разрешить эвакуацию транспортных средств с газонов, детских площадок, жилых и пешеходных зон при жалобе граждан по телефону ГИБДД;2110;Федеральный
Запретить деятельность иностранных консалтинговых и аудиторских компаний в министерствах и ведомствах РФ;2108;Федеральный
Ввести пожизненный административный надзор за лицами, совершившими преступления сексуального характера по отношению к детям, создать единый реестр таких преступников;2105;Федеральный
Включить в план ежегодной диспансеризации населения проведение каронарографии сосудов, включая сосуды головного мозга за счёт средств ОМС;2104;Федеральный
Лишать осужденных за экономические преступления государственных наград и званий;2087;Федеральный
Сделать прозрачным оборот диких животных;2079;Федеральный
Ограничить наценку на продукты питания, произведённые в Росии и странах СНГ в розничной торговле, до 25% от закупочной стоимости;2069;Федеральный
Автоматически начислять налоговые вычеты;2062;Федеральный
Выплачивать пособие по уходу за ребенком до момента официального оформления ребенка в детский сад за счет государства;2060;Федеральный
Освещать на телевидении Российские общественные инициативы;2057;Федеральный
Мошенники должны отрабатывать долги принудительно;2051;Федеральный
Приравнять изготовление и продажу контрафактных лекарственных средств к изготовлению и продаже наркотических средств;2050;Федеральный
Ужесточить меры по контролю и ответственность за выброс мусора в неположенном месте;2045;Федеральный
Обязать пешеходов, по вине которых произошло ДТП (авария или столкновение), выплачивать материальный ущерб водителям за их автомобиль;2045;Федеральный
Сократить вырубку лесов;2036;Федеральный
Установить административную, уголовную ответственность за проникновение на территорию частной собственности (включая земельный участок);2036;Федеральный
Создать программу компенсационного высаживания зеленых насаждений и лесов взамен вырубленных;2034;Федеральный
Ограничить комиссию при приёме коммунальных платежей;2033;Федеральный
Ввести законодательную норму о полной проверке деятельности главы субъекта федерации при окончании срока действия полномочий;2029;Федеральный
Обязать всех производителей продуктов питания детализировать состав продуктов;2020;Федеральный
Принять программу для утилизации стеклотары и остатков стеклобоя для граждан РФ;2018;Федеральный
Ввести штраф 100 тысяч рублей для владельцев собак за отсутствие намордников на животных и отсутствие приспособлений для сбора экскрементов во время их выгула в общественных местах    ;2010;Федеральный
Упростить порядок досрочного прекращения полномочий глав муниципальных образований, совершивших коррупционные правонарушения ;2010;Федеральный
Ужесточить наказание за управление транспортным средством в состоянии алкогольного, наркотического опьянения для лиц, не имеющих водительского удостоверения;2006;Федеральный
Запретить пропаганду тюремного образа жизни;2003;Федеральный
Ввести ответственность за необоснованный подъём цен на товары;2002;Федеральный
Законодательно в интернет-зоне РФ запретить на сайтах самозапускающуюся рекламу с включенным звуком;1997;Федеральный
Запретить коллекторскую деятельность на территории России;1983;Федеральный
Четкие и понятные всем законы без противоречий;1973;Федеральный
Отменять решение о предоставлении гражданства РФ не только для террористов, но и для убийц, педофилов, наркоторговцев и рецидивистов;1973;Федеральный
Обязать депутатов публиковать свои инициативы на РОИ;1970;Федеральный
Принять закон об обязательном лицензировании деятельности ветеринарных клиник;1969;Федеральный
Ввести в судах обязательную видеозапись слушаний в дальнейшем с возможностью ознакомления при необходимости;1963;Федеральный
Ужесточить наказание за попрошайничество с использованием животных;1963;Федеральный
Увеличить наказания за преступления, совершенные должностными лицами и служащими, злоупотребления которых должностными полномочиями несут повышенную общественную опасность;1963;Федеральный
Прекратить грабеж в ЖКХ;1962;Федеральный
