name;startDate;endDate;votes
На стройку с экскурсией;6.10.2014;27.10.2014;224397
Концепция развития Мневниковской поймы;14.11.2014;5.12.2014;252207
Городской транспорт для тех, кто не спит;14.07.2014;28.07.2014;91807
Краудсорсинг-проект «Московская поликлиника»;25.02.2015;1.03.2015;156492
Запрет на продажу алкоэнергетиков: да или нет?;11.02.2015;9.03.2015;279156
На стройку с экскурсией;6.10.2014;27.10.2014;224397
Электронная карта школьника;17.11.2014;8.12.2014;284352
«Москвичи для москвичей: улучшаем работу МФЦ (часть 2)»;29.07.2014;13.08.2014;112247
Новые ночные маршруты общественного транспорта для москвичей;29.09.2014;20.10.2014;184343
Реорганизация промзоны «Медведково»;10.10.2014;31.10.2014;18398
«Миллион деревьев» от «Активного гражданина»;5.11.2014;20.12.2014;338814
Народные парки: продолжаем программу;3.12.2014;25.12.2014;54973
Московский стиль летних кафе;1.09.2014;15.09.2014;159463
Доступ к городской сети Wi-Fi;8.12.2014;18.12.2014;221499
Московским школам – единые сроки каникул;27.10.2014;30.11.2014;470747
Московский стандарт детского отдыха;20.01.2015;2.02.2015;215278
МФЦ: услуги для всех, качество для каждого;6.06.2014;20.06.2014;50679
Всей семьей за здоровьем;8.10.2014;29.10.2014;155539
Электронные квитанции – удобно?;19.06.2014;27.06.2014;57394
Спортивная программа в московских районах;18.06.2014;9.07.2014;85245
Центры культуры: больше секций хороших и разных;24.06.2014;8.07.2014;60320
Активный отдых в природных парках;21.05.2014;30.05.2014;49345
«Моя улица» стартует в ЦАО;17.12.2014;11.01.2015;235833
«Моя улица»: что важно москвичам?;25.08.2014;10.09.2014;157053
«Миллион деревьев» от «Активного гражданина»;5.11.2014;20.12.2014;338814
Москвичи для москвичей: улучшаем работу МФЦ (часть 1);25.07.2014;7.08.2014;108137
Москва – «Лучший город Зимы»;17.09.2014;15.10.2014;191402
Москвичи для москвичей: улучшаем работу МФЦ (часть 2);29.07.2014;13.08.2014;112247
Школьная жизнь;11.07.2014;24.07.2014;83737
Новые технологии поиска пропавших близких;17.10.2014;23.10.2014;156698
Детские поликлиники: информирование пациентов;21.04.2015;15.05.2016;197241
Зимние развлечения в Парке Победы на Поклонной горе;25.10.2016;20.11.2016;203597
Зимние развлечения в парке им. Артема Боровика;25.10.2016;20.11.2016;203597
Зимние развлечения в Бабушкинском парке;25.10.2016;20.11.2016;203597
Детские поликлиники: комфортность пребывания;19.04.2016;15.05.2016;200589
Детские поликлиники: доступность и качество услуг;19.04.2016;15.05.2016;205614
Детские поликлиники: доступность и качество услуг;19.04.2016;15.05.2016;205614
Грузовой каркас: пилотный проект в ВАО;1.09.2015;15.09.2015;23507
Зимний свет столицы;4.09.2015;27.09.2015;291386
Премия «Путеводная звезда — 2016»;28.11.2016;11.12.2016;178022
Лучший объект реставрации по версии «Активного гражданина»;10.11.2016;4.12.2016;202669
Зимние развлечения в парке 50-летия Октября;25.10.2016;20.11.2016;203597
Москва для велосипедистов;18.06.2014;26.06.2014;52900
Школа юного инвестора на ВДНХ;14.07.2016;31.08.2016;207809
Режим работы катков;27.10.2016;20.11.2016;170тысяч
Что украсит освобождённые территории у станции метро «Щелковская» (9-я Парковая, д. 53А, стр. 1)?;24.02.2016;13.03.2016;198088
Что украсит освобождённые территории у станции метро «Чистые пруды» (площадь Мясницкие ворота)?;24.02.2016;13.03.2016;198088
Что украсит освобождённые территории у станции метро «Семеновская» (ул. Измайловский вал, д.2А)?;24.02.2016;13.03.2016;198088
Зимние развлечения в парке «Фили»;27.10.2016;20.11.2016;170тысяч
Зимние развлечения в парке «Фили»;25.10.2016;20.11.2016;203597
Зимние развлечения в парке «Северное Тушино»;25.10.2016;20.11.2016;203597
Зимние развлечения в Воронцовском парке;25.10.2016;20.11.2016;203597
Детские поликлиники: доступность и качество услуг;18.04.2016;15.05.2016;205614
«Миллион деревьев» от «Активного гражданина»;28.04.2016;29.05.2016;193308
Лучший книжный магазин Москвы;20.10.2016;16.11.2016;205906
Новые программы на «Московском образовательном»;7.06.2016;28.06.2016;191723
Золотая осень по твоим правилам;29.09.2016;3.11.2016;182454
Что украсит освобождённые территории у станции метро «Пушкинская» (ул. Тверская, д. 18а)?;2.03.2016;15.03.2016;175445
Что украсит освобождённые территории у станции метро «Марксистская» (Таганская улица, д. 2, стр. 2-9)?;24.02.2016;13.03.2016;198088
Спецсчёт для вашего дома. Кому поможет город?;6.07.2016;31.08.2016;147553
Пассажирская инфраструктура МЦК;10.05.2016;1.06.2016;219524
Пассажирская инфраструктура МЦК;10.05.2016;1.06.2016;219524
Выбор площадки для памятника князю Владимиру;29.07.2015;19.08.2015;234541
Чем заняться после уроков? Кружки и секции в школе;12.05.2016;25.08.2016;187380
Парки столицы – отдых по решению москвичей;29.10.15;06.11.15;86,69%
Парки САО – отдых по решению москвичей (сквер на улице Клары Цеткин, д. 31);29.10.2015;6.11.2015;19813
Парки САО – отдых по решению москвичей (сквер на улице Зорге, д. 9);29.10.2015;6.11.2015;19813
Парки САО – отдых по решению москвичей (сквер на Петровско-Разумовском проезде);29.10.2015;6.11.2015;19813
Москвичи для москвичей: улучшаем работу МФЦ (часть 1);25.07.2014;7.08.2014;108137
Москвичи для москвичей: улучшаем работу МФЦ (часть 1);25.07.2014;7.08.2014;108137
Лучшие новинки в центрах «Мои документы»;9.03.2016;14.04.2016;231562
Что украсит освобождённые территории у станции метро «Бибирево» (улица Костромская, д. 19а, г, ж)? Часть 3;2.03.2016;15.03.2016;175445
Детские поликлиники: комфортность пребывания;19.04.2016;15.05.2016;200589
Детские поликлиники: комфортность пребывания;19.04.2016;15.05.2016;200589
Электрички выходят в сеть;29.04.2015;20.05.2015;260247
Помощь родителям в выборе вида спорта для детей;26.01.2016;16.02.2016;205720
Новый краудсорсинг-проект «Активное долголетие»;5.10.2016;16.10.2016;180523
«Моя библиотека»: режим и правила работы;12.12.2015;21.01.2016;229209
Помощь родителям в выборе вида спорта для детей;26.01.2016;16.02.2016;205720
«Моя библиотека»: режим и правила работы;12.12.2015;21.01.2016;229209
«Моя библиотека»: дополнительные услуги;16.12.2015;21.01.2016;229209
«Моя библиотека»: обслуживание и сервис;11.12.15-21.01.2016;;240622
Время проведения экскурсий и квестов в экоцентре «Скворечник»;14.06.2016;5.07.2016;19604
Что украсит освобождённые территории у станции метро «Марксистская» (улица Рогожский Вал, д. 19)? Часть 2;2.03.2016;15.03.2016;176631
Название платформы МЦК;23.06.2016;5.07.2016;172851
Wi-Fi В Московском метрополитене;8.04.2016;3.05.2016;214455
Wi-Fi В Московском метрополитене;8.04.2016;3.05.2016;214455
Новые возможности центров «Мои документы»;9.04.2016;20.04.2016;50679
Московским центрам «Мои документы» – 5 лет!;17.08.2016;8.09.2016;184053
Что украсит освобождённые территории у станции метро «Бибирево» (улица Пришвина, д. 26)? Часть 3;2.03.2016;15.03.2016;175445
День города: решают москвичи;29.07.2016;10.08.2016;160882
День города: решают москвичи;29.07.2016;10.08.2016;160882
День города: решают москвичи;29.07.2016;10.08.2016;160882
День города: решают москвичи;29.07.2016;10.08.2016;160882
МФЦ: услуги для всех, качество для каждого;9.06.2014;20.04.2014;50679
«Миллион деревьев» от «Активного гражданина»;28.04.2016;29.05.2016;193308
Имя для нового поезда метро;31.05.2016;3.07.2016;220281
«Моя улица» в ЦАО: новый облик Тверской улицы;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Таганской улицы;10.03.2016;16.03.2016;142506
